word,url,description
견제구,https://terms.naver.com/entry.naver?docId=1230020&mobile&cid=40942&categoryId=32050,"야구에서 주자가 베이스에 있을 때 도루 방지나 아웃을 잡기 위해 투수 또는 포수가 수비 선수에게 던지는 공을 말한다. 영어로는 체크(check) 또는 홀드런(hold run)이라고 한다.
"
고의낙구,https://terms.naver.com/entry.naver?docId=934483&mobile&cid=43667&categoryId=43667,"야구 경기에서 내야수가 무사 또는 1사에 주자 1루, 1·2루, 1·3루, 만루에서 더블플레이를 의식해 플라이(라인 드라이브 포함) 타구를 잡거나 일단 글러브에 넣었다가 일부러 떨어뜨리는 행위를 말한다.
"
고의사구,https://terms.naver.com/entry.naver?docId=1230021&mobile&cid=40942&categoryId=32050,"투수가 작전상 또는 강타자를 만났을 때 고의로 볼 4개를 던져 타자를 1루로 보내는 것을 말한다. 투수가 앞서 던진 3개의 볼과 무관하게 마지막 4번째 볼을 어떻게 던졌느냐에 따라 판정한다. 영어로는 인텐셔널베이스온볼스(intentional base on balls)라고 하며, 다른 말로는 경원사구(敬遠四球)라고도 한다.
"
구원투수,https://terms.naver.com/entry.naver?docId=1230123&mobile&cid=40942&categoryId=32050,"선발투수를 대신하여 경기 중간에 투입된 투수.
선발투수가 컨디션이 좋지 않거나 부상을 입은 경우, 경기 전력에 위기 상황이 왔을 때, 혹은 리드 상황을 유지하고자 할 때 등 전략적으로 경기를 운용하기 위해 투입되는 투수를 말한다. 영어로는 릴리프피처(relief pitcher) 혹은 릴리버(reliever)라고 한다. 구원투수가 투입되어 투구하는 것을 ‘중간 계투(繼投)’라고 한다. 구원투수는 투입 시기와 상황, 중간 계투하는 이닝 수 등에 따라 롱릴리버(long reliever), 미들릴리버(middle reliever), 쇼트릴리버(short reliever), 상황에 따라 나오는 좌완 스페셜리스트(left-handed specialist), 셋업맨(set-up man, set-up pitcher), 마무리투수(closer)로 나뉜다. 각각의 역할은 다음과 같다.
"
그라운드홈런,https://terms.naver.com/entry.naver?docId=1230028&mobile&cid=40942&categoryId=32050,"한국 야구위원회(KBO)에서는 장내(場內) 홈런이라고 하며, 일본에서는 러닝홈런(running home run)이라고도 한다. 펜스를 넘지 못한 타구를 수비 팀 야수들이 처리하는 동안 타자가 홈인(home in)까지 하여 득점하는 것을 말한다. 홈런으로 기록되지만, 수비 팀의 실책이 없어야 한다. 정확한 영어 표현으로는 인사이드더파크홈런(inside the park home run)이다.
"
낫아웃,https://terms.naver.com/entry.naver?docId=1230034&mobile&cid=40942&categoryId=32050,"야구에서 투수가 던진 세 번째 스트라이크를 포수가 받지 못하여 삼진 아웃이 되지 않는 경우를 말한다.
정식 용어로는 스트라이크아웃낫아웃(strike out not out)이라고 한다. 투수가 두 번째 스트라이크 이후에 던진 공이 스트라이크 판정을 받았으나 포수가 이 공을 잡지 못한 경우(또는 잡기 전에 공이 그라운드에 닿은 경우)에 발생한다. 이때 타자는 아직 아웃이 되지 않은 상태이므로 1루까지 뛸 수 있으며, 포수는 놓친 공을 잡아 타자를 태그하거나 타자가 1루에 도달하기 전에 1루수에게 공을 보내야 아웃으로 인정된다. 낫아웃은 타자의 스윙 여부와는 무관하다.낫아웃은 노아웃이나 원아웃에서 1루에 주자가 없을 때 성립되고, 투아웃일 때는 주자 유무와 상관없이 성립된다. 1루에 주자가 있을 때 낫아웃이 성립되지 않는 이유는 포수가 고의로 공을 놓쳐 더블플레이(병살) 상황을 만들 수 있기 때문이다.
"
네이버후드 플레이,https://terms.naver.com/entry.naver?docId=1968182&cid=43667&categoryId=43667,"2루에서 주자를 포스 아웃시키려는 수비수가 베이스를 밟지 않거나 공을 잡기 전에 베이스에서 발을 떼고 1루로 송구하여 더블플레이를 시도하는 행위를 지칭한다.
"
노히트노런,https://terms.naver.com/entry.naver?docId=1230052&mobile&cid=40942&categoryId=32050,"무안타 무실점 경기.
투수가 상대 팀 선수에게 무안타, 무실점인 상태로 경기에서 승리했을 때를 말한다. 히트바이피치트볼(hit by pitched ball)이나 베이스 온 볼스(base on balls), 또는 실책으로 주자를 내보냈을 때에도 안타에 의한 출루가 아니므로 노히트노런을 적용할 수 있다. 만약, 투수가 단 한 선수도 출루시키지 않고 경기에서 승리했을 경우에는 퍼펙트 게임(perfect game)이라고 한다.
"
더블헤더,https://terms.naver.com/entry.naver?docId=1230065&mobile&cid=40942&categoryId=32050,"두 팀이 같은 날 계속해서 두 경기를 치르는 것.
두 팀이 같은 날 계속해서 두 경기를 치르는 것을 말한다. 폭우 등 불가피한 상황으로 인해 노게임(no game)이 되거나 취소된 경기를 정규 시즌 일정 안에 마치기 위해 치른다. 더블헤더일 경우 첫 번째 경기 후 연장전을 치르지 않고, 두 번째 경기를 치르게 된다.
"
도루,https://terms.naver.com/entry.naver?docId=1230069&mobile&cid=40942&categoryId=32050,"주자가 수비 팀의 허점을 이용해 다음 베이스로 가는 것을 말한다.
수비 팀의 실책이나 후속 타자의 안타에 의한 진루는 도루 기록으로 인정되지 않는다. 영어로는 스틸(steal)이라고 한다. 작전의 종류에 따라 단독스틸(single steal), 더블스틸(double steal), 트리플스틸(triple steal), 딜레이드스틸(delayed steal), 딜레이드더블스틸(delayed double steal), 홈스틸(home steal) 등이 있다.
"
몰수게임,https://terms.naver.com/entry.naver?docId=3574998&cid=58905&categoryId=58913,"‘포피티드 게임(Forfeited Game)’을 우리말로 옮긴 표현이다. 경기 중 중대한 문제가 발생했을 경우 주심의 선언에 의해 책임이 있는 구단의 패배를 기록하게 되는 규칙이다. 대개 주심의 지시에 불복하고 경기 속행을 거부하는 팀에게 주어지는데, 정식으로 등록되어 있지 않은 무자격선수를 출전시키는 경우나 선수 전체 혹은 일부가 경기 시간에 지각함으로써 정상적인 경기를 치를 수 없게 된 경우에도 몰수게임 패배가 주어진다.
"
